country,location,lat,lon,year,sampleID,sampleNo,folder,picname
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,59,France_Port_Haliguen_Quiberon_1972,ID2-59
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,60,France_Port_Haliguen_Quiberon_1972,ID2-60
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,61,France_Port_Haliguen_Quiberon_1972,ID2-61
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,62,France_Port_Haliguen_Quiberon_1972,ID2-62
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,63,France_Port_Haliguen_Quiberon_1972,ID2-63
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,64,France_Port_Haliguen_Quiberon_1972,ID2-64
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,65,France_Port_Haliguen_Quiberon_1972,ID2-65
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,66,France_Port_Haliguen_Quiberon_1972,ID2-66
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,67,France_Port_Haliguen_Quiberon_1972,ID2-67
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,68,France_Port_Haliguen_Quiberon_1972,ID2-68
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,69,France_Port_Haliguen_Quiberon_1972,ID2-69
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,70,France_Port_Haliguen_Quiberon_1972,ID2-70
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,71,France_Port_Haliguen_Quiberon_1972,ID2-71
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,72,France_Port_Haliguen_Quiberon_1972,ID2-72
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,73,France_Port_Haliguen_Quiberon_1972,ID2-73
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,74,France_Port_Haliguen_Quiberon_1972,ID2-74
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,75,France_Port_Haliguen_Quiberon_1972,ID2-75
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,76,France_Port_Haliguen_Quiberon_1972,ID2-76
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,77,France_Port_Haliguen_Quiberon_1972,ID2-77
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,78,France_Port_Haliguen_Quiberon_1972,ID2-78
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,79,France_Port_Haliguen_Quiberon_1972,ID2-79
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,80,France_Port_Haliguen_Quiberon_1972,ID2-80
France,Quiberon (Port Haliguen),47.49,-3.1,1972,2,81,France_Port_Haliguen_Quiberon_1972,ID2-81
